question,category,company,question_at
2 - 1) 그것을 어떻게 해결했나요?,bank,신한은행,2023
3) Flutter와 Spring 차이는 무엇인가요?,bank,신한은행,2023
4) 가장 자신있는 기술스택은 어떤 것인가요? (프론트엔드),bank,신한은행,2023
5) 가장 자신있는 프로그래밍 언어은 무엇이 있을까요? (프론트엔드 제외),bank,신한은행,2023
"6) 리더형인가요, 팔로워형인가요?",bank,신한은행,2023
6 - 1) - 리더 경험이 있으신가요?,bank,신한은행,2023
7) MVVM 패턴에 대해 말씀해주세요.,bank,신한은행,2023
8) 학교를 고르실 때 개인의 의지가 있었나요? 아님 다른 사람의 추천이 있었나요?,bank,신한은행,2023
9) 프로그래밍 재밌어요?,bank,신한은행,2023
9 - 1) 어떤 느낌이 드시나요?,bank,신한은행,2023
10) 아무래도 기숙사 학교다 보니깐 개인적인 공부 시간을 확보하는 게 힘들 것 같은데 시간을 어떻게 내시나요?,bank,신한은행,2023
11) 최근에 개인적으로 공부하고 계신게 어떤 것인가요?,bank,신한은행,2023
11 - 1) 어떤 방법을 사용하여 그것을 공부하고 계신가요?,bank,신한은행,2023
12) 마지막 할 말은 따로 있으신가요?,bank,신한은행,2023
자기소개,front,블루바이저 ai 면접,2023
자신의 성격과 장단점,front,블루바이저 ai 면접,2023
진행했던 프로젝트 중 가장 힘들었던 프로젝트는 어떤것이고 어떤것이 힘들었는지 설명,front,블루바이저 ai 면접,2023
네이티브 앱과 비교하여 크로스 플랫폼의 단점 설명,front,블루바이저 ai 면접,2023
데이터 통신 방식 중 비동기 방식에 대해 설명,front,블루바이저 ai 면접,2023
성격장단점,front,블루바이저 ai 면접,2023
가장자신있는 개발언어와 해당 언어로 진행했던 대표적인 프로젝트 설명,front,블루바이저 ai 면접,2023
데이터베이스 트랜잭션의 처리과정 중 commit과 rolback에 대해 설명,front,블루바이저 ai 면접,2023
nosql이란 무엇이고 rdms와 비교하여 장단점 설명,front,블루바이저 ai 면접,2023
자기소개,back,아이디노,2023
되고싶은 사람 되기싫은 사람,back,아이디노,2023
기술이 서버 지원이 안되면 어떻게?,back,아이디노,2023
스타트업같은 불안정이랑 안정적 뭐가 더 좋은지,back,아이디노,2023
TCP 프로젝트 이름 이유,back,아이디노,2023
기숙사 문 제어 서비스 보안 문제는 어떻게,back,아이디노,2023
DB 뭐 써보셨나요?,back,아이디노,2023
디자인 툴 뭐 써보셨나요,back,아이디노,2023
의사소통 갈등 상황,back,아이디노,2023
게시판 처음부터 끝까지 개발할 수 있나요?,back,아이디노,2023
DB 테이블 몇개쓰세요?,back,아이디노,2023
DB 설계 해보셨나요?,back,아이디노,2023
TCP 개발하면서 힘들었던 점,back,아이디노,2023
프로젝트 할때 주로 몇명이서 하는지,back,아이디노,2023
1. 다른 분야의 개발도 많이 해본 것 같은데 왜 백엔드로 정하게 되었는가,back,니더,2023
"2. 원래부터 이쪽 분야에 관심이 있었는지, 언제부터 있었고 어쩌다가 하게 되었나",back,니더,2023
3. 다른 회사에 지원한 적이 있는가,back,니더,2023
3-1. 대기업 같은 곳을 가지 않고 우리 회사를 고른 특별한 이유가 있는가,back,니더,2023
"4. 다른 사람과 함께 협업한 적이 있는가, 코드 리뷰 같은 것을 진행한 적이 있는가",back,니더,2023
"5. 디자이너 같은 비 개발 직군과 함께 소통한 적이 있는가, 잘 할 수 있는가",back,니더,2023
"6. 자신은 팀에서 리더인가 팔로워인가, 왜 그렇게 생각하는가",back,니더,2023
7. 팀 프로젝트를 진행하면서 발생했던 문제점이 있는가,back,니더,2023
8. 다른 사람과의 의견이 맞지 않는다면 어떻게 할 것인가,back,니더,2023
9. 만약 회사에서 작성한 코드가 본인이 보기에 마음에 들지 않으면 어떻게 할 것인가,back,니더,2023
10. 만약 프로젝트 마감일까지 완성하지 못할 것 같다면 프로젝트의 완성도를 우선시 할 것인가 마감 기한을 지킬 것인가,back,니더,2023
11. 회사에서 무슨 일을 하고 싶은가,back,니더,2023
12. 어떠한 개발자가 되고 싶다는 꿈이 있는가,back,니더,2023
13. 10년 후 자신은 어떤 사람이 되어있을 것 같은가,back,니더,2023
14. 대학에 진학할 생각이 있는가,back,니더,2023
14-1. 대학에 진학하지 않고 고등학교에서 공부한 내용만으로도 실무에서 잘 할 수 있는가,back,니더,2023
15. 급구 서비스를 한번 써봤나?,back,니더,2023
15-1. 급구 서비스를 개발자의 관점에서 보았을 때 서비스의 전체적인 구조가 어떨 것 같은지 설명해보세요,back,니더,2023
16. 코딩테스트의 이 문제를 어떻게 하면 더 효율적으로 해결할 수 있을 것 같은가,back,니더,2023
17. 코딩테스트의 이 문제에서는 특정 알고리즘을 사용하면 되는데 어떠한 알고리즘인지 알고 있는가,back,니더,2023
18. AOP(관점 지향 프로그래밍)가 무엇인가,back,니더,2023
19. DB에서 PK를 UUID로 하면 발생하는 문제점,back,니더,2023
20. DB에서 동시성 문제를 어떻게 해결할 수 있는가,back,니더,2023
21. DB 작업 중 문제가 발생할 때 작업 내용을 되돌릴 수 있는 방법을 알고 있는가,back,니더,2023
1. 대회 수상 관련,front,블루바이저,2023
2. 기술스택,front,블루바이저,2023
3. 프로젝트에서 힘든점 있었던거,front,블루바이저,2023
4. 둘이 친한가?,front,블루바이저,2023
5. 관심있게 한 기술스택,front,블루바이저,2023
6. 프로젝트를 진행하면서 생소했던 경험,front,블루바이저,2023
"7. 해커톤 우수상, 최우수상 관련 주제와 경험",front,블루바이저,2023
"8. 해커톤 && 인공지능 질문, 구현",front,블루바이저,2023
정보보안 관련 수상이 있던데?,front,블루바이저,2023
- 정보보안 관련해서도 관심이 있나?,front,블루바이저,2023
개인 수상 관련(기술 관련 X),front,블루바이저,2023
독서상이 있던데 독서를 많이 하시나?,front,블루바이저,2023
- 인상 깊었던 책이 있다면?,front,블루바이저,2023
Node.js 사용하면서 어려웠던점,front,블루바이저,2023
Node.js 하면서 했던 프로젝트,front,블루바이저,2023
학교 프로젝트가 아닌 개인으로 했던 프로젝트,front,블루바이저,2023
Python으로 무엇을 해보았나?,front,블루바이저,2023
Python으로 데이터분석을 하셨다 했는데 어떤 것을 분석해봤냐,front,블루바이저,2023
- 어떤 것을 분석했다 했는데 그것으로 어떤 결과를 내었나,front,블루바이저,2023
-- 그 분석한 것이 다른 사람에게 보여줄 수 있는 정도인가?,front,블루바이저,2023
Git 사용할 줄 아시나요?,front,블루바이저,2023
해커톤은 어떤 해커톤을 하였나,front,블루바이저,2023
디자인 기획 관련한 툴 사용 경험,front,블루바이저,2023
자신이 생각하는 성격?,front,블루바이저,2023
- 다른 친구들이 너의 성격을 뭐라고 말하나?,front,블루바이저,2023
"어떻게 이쪽 분야로 가기로 결심했나?(프론트,백엔드,앱 등)",front,블루바이저,2023
기획 관련해서 자신의 강점?,front,블루바이저,2023
마지막으로 하실 질문?,front,블루바이저,2023
(둘이서) 친한 친구인가요?,front,블루바이저,2023
제출한 이력서를 보며 기술 면접(대부분의 시간 할애 ex)부마위키 ),back,라이너(기술면접),2024
라이너에 왜 합류하고 싶은지?,back,라이너(기술면접),2024
성격의 단점 2개정도,back,라이너(기술면접),2024
- 한번에 물어본게 아니라 하나 물어보고 좀 추가로 더,back,라이너(기술면접),2024
프로젝트를 진행하면서 어려웠던 거,back,라이너(기술면접),2024
"과제했던거 정말 간단하게 쿼리 왜 이렇게 짰는지, 마리아DB왜 썼는지 정도만 질문 (readme만 읽은 듯)",back,라이너(기술면접),2024
3년뒤 혹은 5년뒤에 어떤 모습?,back,라이너(기술면접),2024
- 인생목표가 무엇인가?,back,라이너(기술면접),2024
열심히 사는 것에 원동력,back,라이너(기술면접),2024
질문 있는지?,back,라이너(기술면접),2024
- 뉴스랑 기술블로그 관련해서 얘기,back,라이너(기술면접),2024
블로그에 관한 얘기 많이 함,back,라이너(기술면접),2024
백엔드 개발자 개발자한테 중요한 것,back,라이너(기술면접),2024
자기가 작성한 이력서에 대한 완벽한 이해,back,라이너(기술면접),2024
협업에서 마찰,back,라이너(기술면접),2024
차별화된 본인의 강점,back,라이너(기술면접),2024
이 직무하기 위해서 어떠한 노력?,back,라이너(기술면접),2024
동기부여가 안되어 있는 팀원과 일한 경험?,back,라이너(기술면접),2024
1분 자기소개,front,핀다(기술면접),2024
마이스터고에 진학안 이유,front,핀다(기술면접),2024
학생회장 및 여러 프로젝트를 진행하면서 얻은 역량(개발 외적으로),front,핀다(기술면접),2024
일반고 - 대학교 진학에 비해 마이스터고가 갖는 차별점 및 강점,front,핀다(기술면접),2024
"회의 중 발생하는 갈등에 대한 경험, 갈등을 해결한 방법",front,핀다(기술면접),2024
"본인이 팀의 리더일 때, 팀을 이끄는 방식",front,핀다(기술면접),2024
본인이 가장 싫어하는 팀을 이끄는 방식,front,핀다(기술면접),2024
"만약 사람 7명중 본인이 한 명이라면, 그 구성원에서 어떤 역할을 담당하는지",front,핀다(기술면접),2024
"입사 후, 개인 역량 강화를 위한 로드맵 제시",front,핀다(기술면접),2024
(부마위키) 선배가 만들어논거 베이스로 만든건지 아니면 선배랑 같이 만든건지,front,핀다(기술면접),2024
"(부마위키) S3로 이미지를 저장하는 것 같은데, S3가 아닌 외부 이미지 도메인을 에디터에 넣어도 S3로 변환되는지",front,핀다(기술면접),2024
"(부마위키) 커뮤니티 서비스를 구축하다보면 악의적이거나 욕설, 허구의 글을 작성하는 경우가 있을 수 있는데 이는 어떻게 처리하는지",front,핀다(기술면접),2024
(부마위키) 데이터 모델 - 사이트의 데이터베이스 설계가 어떻게 되어있는지,front,핀다(기술면접),2024
(부마위키) 태그 안에 태그가 중첩될 경우 어떻게 처리가 되는지,front,핀다(기술면접),2024
(부마위키) 스트링베이스로 데이터를 저장하고 replace문으로 문자를 처리하면 성능 이슈가 생기지 않는지,front,핀다(기술면접),2024
(부마위키) replace문으로 태그를 처리한다 가정했을 때 regex가 글로벌로 선언되어있기에 다른 regex와 겹치진 않는지,front,핀다(기술면접),2024
"(부마위키) 사이트 체류시간을 두 컴포넌트를 추가함으로 늘렸다 했는데, 왜 그 컴포넌트를 추가했을 때 체류시간이 늘거라 예상했는지",front,핀다(기술면접),2024
(너랑나랑) 프로젝트 설명,front,핀다(기술면접),2024
(너랑나랑) 데이터분석을 할 때에는 어떤 기술스택을 사용했는지,front,핀다(기술면접),2024
(너랑나랑) 카카오톡 대화 내역을 업로드하는 방법은 대화 내용 내보내기 밖에 없는지,front,핀다(기술면접),2024
"리액트 렌더링 단계 (useLayoutEffect, useEffect, rendered, Parent와 Child 컴포넌트 렌더링 순서)",front,핀다(기술면접),2024
클로져 예제 정답 답변 및 클로져 설명,front,핀다(기술면접),2024
코딩 테스트(1) : 시뮬레이션. (코드트리 문제이름 : 편안한 핀셋),back,브랜치앤바운드(라이브 코딩),2024
코딩 테스트(2) : gcd + 그리디 알고리즘. (코드트리 문제이름 : n등분하기),back,브랜치앤바운드(라이브 코딩),2024
● 자기소개 해주실 수 있나요?,back,브랜치앤바운드(비대면면접),2024
● 코드트리에 지원하시게 된 이유?,back,브랜치앤바운드(비대면면접),2024
● 자사 이전에 지원하고 싶었던 회사 있었나요?,back,브랜치앤바운드(비대면면접),2024
● 코드트리에서 어떤점이 가장 마음에 드셨나요?,back,브랜치앤바운드(비대면면접),2024
● 최근 실력진단 점수가 어떻게 되나요?,back,브랜치앤바운드(비대면면접),2024
"● 말씀 잘하시던데, 이전에 면접 경험 많나요?",back,브랜치앤바운드(비대면면접),2024
"● 자소서 잘쓰셨던데, 누군가의 도움을 받았나요?",back,브랜치앤바운드(비대면면접),2024
● 성격의 장단점이 어떻게 되나요?,back,브랜치앤바운드(비대면면접),2024
"● 끝까지 파고 드는게 장점인데, 관련된 경험이 어떤게 있나요?",back,브랜치앤바운드(비대면면접),2024
● 이때까지 가장 깊게 파고든게 어떤게 있나요?,back,브랜치앤바운드(비대면면접),2024
● 개발 분야 말고 끝까지 파고 든 경험?,back,브랜치앤바운드(비대면면접),2024
● 단점은 뭐가 있을까요?,back,브랜치앤바운드(비대면면접),2024
"● 1차 면접도 보셨는데, 어떠셨었나요?",back,브랜치앤바운드(비대면면접),2024
(1차 면접관님이랑 같이 일해보고 싶다고 함) -> 1차 면접관님과 같이 일해보고 싶었던 이유는?,back,브랜치앤바운드(비대면면접),2024
● 어떤 성격의 동료를 좋아하시나요?,back,브랜치앤바운드(비대면면접),2024
● 자신과 맞지 않는 성격을 가진 동료와 어떻게 협업할 것인가요?,back,브랜치앤바운드(비대면면접),2024
● 본인이 가장 크게 성장하게 된 사건,back,브랜치앤바운드(비대면면접),2024
● 본인이 실패해 본 경험을 말씀해 주세요,back,브랜치앤바운드(비대면면접),2024
● 최근에 자기개발 이나 준비중인거는 뭐가 있나요? 사용하는 시간은?,back,브랜치앤바운드(비대면면접),2024
● 알고리즘을 좋아하는 이유는?,back,브랜치앤바운드(비대면면접),2024
● 컨탠츠 부분만 담당하게 된다면 어떨거 같나요?,back,브랜치앤바운드(비대면면접),2024
● 해당 부분에서 일한다면 5년 후 내 모습은 어떨거 같나요?,back,브랜치앤바운드(비대면면접),2024
● 회사에 기대하는 바가 있나요?,back,브랜치앤바운드(비대면면접),2024
● 어떤 동료가 같이 일하기 좋으신가요/싫으신가요?,back,브랜치앤바운드(비대면면접),2024
- 개선 경험?,back,브랜치앤바운드(비대면면접),2024
● 살면서 아주 높은 기준을 세우고 도전해본적이 있으실까요?,back,브랜치앤바운드(비대면면접),2024
● 알고리즘 공부한지 얼마나 되셨나요?,back,브랜치앤바운드(비대면면접),2024
● 알고있는 알고리즘 중 가장 어려운 알고리즘은?,back,브랜치앤바운드(비대면면접),2024
"● 제가 비개발자이고, 문과인데 dp에 관해서 설명해주실 수 있을까요?",back,브랜치앤바운드(비대면면접),2024
● 평소에 친구들이나 동료들에게 모르는거 가르치는거 좋아하시나요?,back,브랜치앤바운드(비대면면접),2024
● 가르치는 거에서 어떤걸 잘한다고 생각하시나요?,back,브랜치앤바운드(비대면면접),2024
● 코드트리 오시면 어떤일 하시고 싶으신가요?,back,브랜치앤바운드(비대면면접),2024
● 코드트리에서 아쉬웠던 점,back,브랜치앤바운드(비대면면접),2024
● 코드트리에서 좋았던 점,back,브랜치앤바운드(비대면면접),2024
● C++만 쓰시나요?,back,브랜치앤바운드(비대면면접),2024
"● 가장 친한친구 소개(+ 그 친구의 캐릭터, 특징)",back,브랜치앤바운드(비대면면접),2024
● 어떤 친구랑 어울리기 힘든가요?,back,브랜치앤바운드(비대면면접),2024
● 알고리즘 말고 다른걸 가르쳐보라면 뭘 가르칠 수 있을까요?,back,브랜치앤바운드(비대면면접),2024
● 왜 민우님을 모셔야 하는지 설득해주세요.,back,브랜치앤바운드(비대면면접),2024
"● 써본 서비스(웹, 앱) 중에서 가장 좋았던 서비스는?",back,브랜치앤바운드(비대면면접),2024
"● 사용하는 서비스(웹, 앱)중에서 가장 자주 사용하고 있는 서비스는?",back,브랜치앤바운드(비대면면접),2024
"● dp를 피보나치 예시를 들어서 설명했는데, 피보나치도 모르고, 재귀함수도 모르는 문과에게는 눈높이가 맞춰져 있었나?",back,브랜치앤바운드(비대면면접),2024
● 코드트리가 왜 어려운 문제가 없는지 생각해본적 있을까요?,back,브랜치앤바운드(비대면면접),2024
"● 해당 직무에 적성에 맞지 않고 힘들다, 재미없다면 어떻게 할건지?",back,브랜치앤바운드(비대면면접),2024
● 회사에 궁금한 부분이 있을까요?,back,브랜치앤바운드(비대면면접),2024
● 마지막으로 하지 못한 이야기를 해주세요.,back,브랜치앤바운드(비대면면접),2024
3:1 면접 (1시간 예정이었지만 20분정도 진행),back,아키스케치(기술면접),2024
1. 자기소개랑 지원 동기,back,아키스케치(기술면접),2024
직접 진행해본 프로젝트 있는지(노담노담 언급),back,아키스케치(기술면접),2024
2. 프론트엔드 개발 직접 다한건지(노담노담),back,아키스케치(기술면접),2024
3. 자동배포 어디다 올렸는지,back,아키스케치(기술면접),2024
3-1. 파이프라인 어떻게 구축했는지(도커 언급),back,아키스케치(기술면접),2024
3-2. 도커가 뭐하는건지 도커 컨테이너랑 vm 차이,back,아키스케치(기술면접),2024
5. CS 학교에서 알려주는거만 열심히 듣는지 개별적으로 공부하는지,back,아키스케치(기술면접),2024
5-1. 최근에 뭐 공부했는지(DB 인덱스 언급),back,아키스케치(기술면접),2024
5-2. 인덱스에 대한 설명,back,아키스케치(기술면접),2024
6. 코틀린 어떻게 배웠는지 / 자바가 가장 편한 언어인지(이력서 기술스택엔 코틀린이 없었음),back,아키스케치(기술면접),2024
7. 과제할 �� 어려운점 없었는지,back,아키스케치(기술면접),2024
8. 직접 운영해본 서비스가 있는지(인피니티 언급),back,아키스케치(기술면접),2024
9. 회사가 서울에 있는데 각오는 되어 있는지,back,아키스케치(기술면접),2024
10. 회사에서 어떤거 배워보고 싶은지,back,아키스케치(기술면접),2024
11. 회사에 들어오게 된다면 산업에 직접 기여하게 될텐데 자신있는지,back,아키스케치(기술면접),2024
12. 라즈베리파이 사용했다고 말씀해주셨는데 AWS같은 서비스는 사용해본 경험은 없는지,back,아키스케치(기술면접),2024
1-1.(BSM) 어떤 데이터를 시각화했는지에 대해서 설명,front,핀다(2차면접),2024
1-2.(BSM) 이 데이터를 시각화할 때 기획을 누가 했는지,front,핀다(2차면접),2024
1-3.(BSM) 본인이 했다면 어떤 그래프를 사용하여 시각화를 했는지,front,핀다(2차면접),2024
"1-4.(BSM) 어떤 레이아웃으로 처음에 시각화할 기획을 했는지, 그 이유",front,핀다(2차면접),2024
1-5.(BSM) 그래프 시각화로 인해서 어떤 점을 사용자에게 가장 먼저 얻게 포커스가 되어있는지,front,핀다(2차면접),2024
1-6.(BSM) 도입했던 여러가지 그래프 중 제일 프로젝트에서 좋다고 생각하는 그래프는 무엇인지와 그 이유,front,핀다(2차면접),2024
"1-7.(BSM) 레이더 차트는 여러가지 속성들이 분산되어있어 시각적으로 UI를 해칠 수도 있었는데 맞는지, 또는 이를 어떻게 해결했는지",front,핀다(2차면접),2024
2-1.(부마위키) 서비스 소개,front,핀다(2차면접),2024
"2-2.(부마위키) 마크업 랭귀지를 만들었다고 했는데, 왜 그리고 어떤 기준으로 만들었는지",front,핀다(2차면접),2024
2-3.(부마위키) 이 마크업 랭귀지를 사용자들에게 제공할 때 어떤 식으로 사용법을 알려주었는지,front,핀다(2차면접),2024
3. 직무를 이행할 때 본인이 가진 장점과 단점,front,핀다(2차면접),2024
4. 프로젝트를 진행하면서 발생한 이슈,front,핀다(2차면접),2024
5. 프리라이더가 발생했을 때 어떻게 대처하였는지,front,핀다(2차면접),2024
"5-1. 프리라이더가 있을 때, 본인이 혼자 다 하는 것 보다 권요해보는 프로세스가 더 좋지는 않은지?",front,핀다(2차면접),2024
"6. 핀다에 질문한 내용 : 다가 BaaS 서비스를 목표로 한다는 기사를 보았는데, 이 개인화된 BaaS 서비스가 완성되는 예정 날짜가 있는지?",front,핀다(2차면접),2024
6-1.(질문에 대한 역질문) 왜 여러가지 질문 중에서도 개인화된 은행에 대해 질문했는지,front,핀다(2차면접),2024
"6-2.(질문에 대한 역질문) 은행 개인화에 왜 관심이 있는지, 그리고 핀다를 떠나서 그냥 개발자로써 개인화된 은행에 대해 도메인을 맡게 된다면 어떤 점이 이점으로 작용할지",front,핀다(2차면접),2024
6-3.(질문에 대한 역질문) 왜 시중에 아직 개인화된 은행이 출시되지 않았다고 판단했는지,front,핀다(2차면접),2024
6-4.(질문에 대한 역질문) 어떤 서비스를 제공하면 개인화된 은행이라고 사람들이 이야기할 수 있을지,front,핀다(2차면접),2024
"6-5.(질문에 대한 역질문) 개인화된 은행에 대해서 이 정보를 제공하는 데이터 팀이 궁금한건지, AI 팀이 궁금한건지, 이를 개발하는 백엔드팀이 궁금한건지",front,핀다(2차면접),2024
6-6.(질문에 대한 역질문) 본인이 개인화된 은행이 있다면 그중 사용하고 싶은 서비스와 이유,front,핀다(2차면접),2024
"자기소개, 지원동기, 커리어패스",design,샌드버그(기술면접),2024
"(지원동기 추가 질문) 성장하는 것이 마음에 든다고 하였는데, 우리 기업 뿐만 아니라, 중견기업, 대기업에서도 성장을 할 수 있는데 어떻게 생각하는지",design,샌드버그(기술면접),2024
"(자기소개) 개발도 가능하다는 점이 다른 디자이너와 구분된다고 하는데, 본인이 디자인한 것이 react 컴포넌트 구현이 가능한지?",design,샌드버그(기술면접),2024
(자기소개) props 받을 정도로 디자인이 가능한지?,design,샌드버그(기술면접),2024
"프론트엔드 개발할때 디자인 구현하기 쉽게 변경해주는 라이브러리가 있는데 알고 있는지, 사용해본적 있는지",design,샌드버그(기술면접),2024
"커리어패스에서 프롬프트 디자이너 언급하면서 트랜드를 따라가기위해 많은 노력을 하는것 같은데 그런 래퍼런스를 찾을 때 비핸스나 플러스엑스등을 사용하는지, 또 다른 추천할만한 래퍼런스가 있는지",design,샌드버그(기술면접),2024
생성형 ai를 활용하는것은 시간이 지나면 누구나 가능한데 왜 이 디자인이 좋은 디자인인지 설득하는 능력이 중요하다. 이것을 설득하기 위해 어떤 액션을 취할 것인지,design,샌드버그(기술면접),2024
"공모전 참가 경험, 최근 준비중인 공모전이 있는지",design,샌드버그(기술면접),2024
"가장 좋아하는 웹이나 앱사이트의 디자인, 이유",design,샌드버그(기술면접),2024
답변한것 이외에 또 다른 좋아하는 디자인이 있는지,design,샌드버그(기술면접),2024
학교에서 배운 디자인 커리큘럼과 본인이 별도로한 노력,design,샌드버그(기술면접),2024
"가장 자신있는 디자인 분야(시각디자인, 웹디자인, 앱디자인)",design,샌드버그(기술면접),2024
본인의 대표적인 프로젝트와 설명,design,샌드버그(기술면접),2024
기획을 담당하기도 했는데 어땠는지?,design,샌드버그(기술면접),2024
프로젝트 경험에서 어려웠던 점은?,design,샌드버그(기술면접),2024
포트폴리오 미연시게임 일러스트 직접 그린것인지,design,샌드버그(기술면접),2024
협업하여 프로젝트를 만들때 어떤 툴을 사용했는지,design,샌드버그(기술면접),2024
협업활동을 할때 문서 작업을 해본적이 있는지,design,샌드버그(기술면접),2024
Q. 간단한 자기소개 해 주세요.,front,샌드버그(기술면접),2024
Q. 지원동기를 알려 주세요.,front,샌드버그(기술면접),2024
Q. 프론트엔드 개발자로서의 커리어 패스가 있다면 알려 주세요.,front,샌드버그(기술면접),2024
"(대답을 잘 못하자 몇 단계에서는 뭐 하고, 몇 단계에서는 어떤 걸 하고 이런 게 아닌 '어떤 개발자가 되고 싶다'라는 게 있으면 알려달라고 하셨음)",front,샌드버그(기술면접),2024
Q. OO 학생의 대표적인 프로젝트에 대해 설명해 주세요.,front,샌드버그(기술면접),2024
"Q. 샌드버그의 '스냅' 서비스를 보았을 때, 지원자의 자신의 기준으로서는 핀테크라는 도메인이 우선되어야 하는지, 기술에 대한 공부가 우선되어야 하는지 말해 주세요.",front,샌드버그(기술면접),2024
"Q. SQLD, 정보처리산업기사 등 괜찮은 자격증이 많네요, 그러면 데이터베이스 쪽으로 여쭤볼게요. 정규화와 반정규화에 대해 설명해 주시겠어요?",front,샌드버그(기술면접),2024
Q. SSR과 CSR에 대해 설명해 주세요.,front,샌드버그(기술면접),2024
